address,reward(wei),reward(ether)
0x93FC1F35f53a9553534979233caF273214C51Fd7,402078072861508025688,402.07
0xE37A64B9715Ea60EF325daF1B83E2F7805ef6E09,400400793443726841434,400.40
0x38e29135f9e10073B327083A016057720Fc2569E,382044755256036546316,382.04
0x50573899c3b91e7cFd2F17388b29a1169C62e374,361239734243831699343,361.23
0xA06c7D3DD33Cc3C5ee513b242994737F90e98b2E,359627649855484301549,359.62
0xE0D7acD1EEd0aC33717A6785BaD9E62c9CB5D218,357263723946991815891,357.26
0xD83d2eB5562005F47253c72012551055F78eA6F9,352075509392461324333,352.07
0x85b09C93944b2f4c26A2b462B6476920BafA4Bdd,348805366317752766622,348.80
0x5242F57DE318dBd16d01AE8c6F38f130Ed027c0c,346263542243425818977,346.26
0x63dd8001680BFD3f9Dd307D928Fa37DD061DF9f3,345510499441609668814,345.51
0x8Eb81724b4e7EE8785f893d6f8db5b1B9e303fDd,341343567832862437936,341.34
0xa0737428aB2DB419D50c83c29b02A10086CAaB1F,323548081559810585135,323.54
0xc8f7b747eefc216964E567C14Ec823d17D25C932,321250068292282994684,321.25
0x269EA4CD75A8EcabfF55E47A34453801E412b991,320298057210111491080,320.29
0x2FBb88EC97C4fFC513c837C566d801B368AA671E,320104814546209872263,320.10
0x8bCE57b7B84218397FFB6ceFaE99F4792Ee8161d,300074387587387240196,300.07
0xaA0a08A6FA8BbCC0dC551DA3cDe4B818f96a2157,281806042780475866747,281.80
0xb23605349fc4Ffcc16443E6DB0153826f263801E,271822232240046979012,271.82
0x8D00A88171e3D362a18e8ddE1fb2a264649BEc2c,265457427958979493309,265.45
0x88b882599140eb4962A03ECA1deece611568B6bE,260823609968793159264,260.82
0x26aAB6D2FE3d6976d42d89bA5091a465a5Ef9aCE,260400696352356090057,260.40
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,258079247580799089995,258.07
0x90a64eD7b118631520Ac1d71f348Ff213cA51817,255214770795844794045,255.21
0xC54fEf7E16cd3bE06B19080918Ebd5881226D58c,250399325264258005894,250.39
0x84e29B54fC21f3821560cf6537baE5B243439769,249875495902329275896,249.87
0x02222002E5D000D14595457e8eEaeb6963722763,249875495902329275896,249.87
0x31c0E96257359C6B8BA40eBB834D7eb39Bcb7317,249050038292568738742,249.05
0xfB41cAfB63f0ff1E7601B1d7549b980B5F8cc711,246412735872046409860,246.41
0xeb3B8aaDE9Aae399a7c6E738b9393c2A22b636C1,244491707760265289635,244.49
0x3A15459851b5346677bf9f7d3F8B2A8233eAdaad,243776896119812643474,243.77
0x5583347e299dfE16247224797704e093cAee28A1,240823374556615079924,240.82
0x10d61f4B7c102C8Bf2c5bD00063e41bC5178E081,231114173714766691083,231.11
0x830D4b9c5B7bfB5300CAA1B2881d7dFA23e08859,228878763329949354095,228.87
0x5ce26B45F6480d07D3231D083136463082a37563,228585955462071629261,228.58
0x35b578CA822eBDaC517Ed9adf1cAAd2B472863d6,223816900597309884782,223.81
0x54A9f56432f3a34931887A5ae71Ba698c61cec6f,223406473449278162148,223.40
0x48e68c7Fbeded45C16679E17cDb0454798D5e9B5,221762522102689417824,221.76
0x9994A64880797B18562Bc5c24db83972C2879B4C,217496389777510094944,217.49
0xAbEF67AddE705042d7C2BaF6ebEca36f1a9172Eb,217193672733850207969,217.19
0x8E479577E182867B6A5d21b24C3A39e6b5B3Bf69,206255212300227004330,206.25
0x3377E10E6B3a3eFfd0e9C6a0A4e02Fa1e428E485,205337590128330391424,205.33
0x5121Bb4a7Fb2Bf80645a3326e05d3FDC27E1889c,203259276218533365877,203.25
0x16805ffE7266Ae38d6287E1E975f0F378BF31096,201536447088964223612,201.53
0x7cCC5aFdE6f522ca9EBb74638aE92C9A4f8FF6b1,193959074672721297265,193.95
0xc8E781Be5dB0c358D0B5a3b35209958Cf584fB24,187682626737911883141,187.68
0x88Eb1Ab11DC5E3e6e67c84F4EC5Ba30e16D9B238,176571170357372163912,176.57
0xFbCFE4AB8922B7Caf23D3E28634c4AC05475502b,172649767621786837429,172.64
